method,accuracy,precision,recall,f1_score,roc_auc,true_positive,true_negative,false_positive,false_negative
Isolation Forest,0.9419,0.4176829268292683,0.411,0.41431451612903225,0.8556729736842105,411,18427,573,589
LOF,0.9547,0.6068181818181818,0.267,0.37083333333333335,0.7209426578947367,267,18827,173,733
Z-score,0.90005,0.2902141957160857,0.691,0.4087548062703342,0.8609350526315791,691,17310,1690,309
Ensemble,0.9582,0.7124352331606217,0.275,0.3968253968253968,0.9015451842105263,275,18889,111,725
